date,events,Path,,exclCapex,exclSavingsRate,exclBurn,exclusiveNet,exclusiveAcc,,sharedCapex,sharedSavingsRate,sharedBurn,sharedNet,sharedAcc,,diffCapex,diffSavingsRate,diffBurn,diffNet,diffAcc
0,Commit to a banana dream,Ex | Sh,,0,6000,0,6000,6000,,0,2000,0,2000,2000,,0,4000,0,4000,4000
1,Bottle Service with the Dream Team,Sh,,0,6000,0,6000,12000,,-3000,2000,0,-1000,1000,,-3000,4000,0,7000,11000
2,Buy dope speedboat w/ murdered out sound system,Ex | Sh,,-40000,6000,-1000,-34000,-22000,,-40000,2000,-350,-38000,-37000,,-80000,4000,-650,4000,15000
3,,,,0,6000,-1000,6000,-16000,,0,2000,-350,2000,-35000,,0,4000,-650,4000,19000
4,,,,0,6000,-1000,6000,-10000,,0,2100,-350,2100,-32900,,0,3900,-650,3900,22900
5,,,,0,10000,-1000,10000,0,,0,2205,-350,2205,-30695,,0,7795,-650,7795,30695
6,,,,0,10000,-1000,10000,10000,,0,2315,-350,2315,-28380,,0,7685,-650,7685,38380
7,buy truck ,Ex,,-30000,10000,-1000,-20000,-10000,,0,2431,-350,2431,-25949,,-30000,7569,-650,-22431,15949
8,Cover of Banana Boat Magazine,Sh,,0,10000,-1000,10000,0,,0,2553,-350,2553,-23396,,0,7447,-650,7447,23396
9,Lake house homie finds you,Sh,,0,10000,-1000,10000,10000,,0,2680,-35,2680,-20716,,0,7320,-965,7320,30716
10,Becomes tropicana spokesman,Sh,,0,15000,-1000,15000,25000,,0,2814,-35,2814,-17902,,0,12186,-965,12186,42902
11,Get girlfriend,Sh,,0,15000,-1000,15000,40000,,0,2955,-35,2955,-14947,,0,12045,-965,12045,54947
12,buy lakehouse,Ex,,-200000,15000,-100,-185000,-145000,,0,3103,-35,3103,-11844,,-200000,11897,-65,-188103,-133156
13,,,,0,15000,-100,15000,-130000,,0,3258,-35,3258,-8586,,0,11742,-65,11742,-121414
14,,,,0,15000,-100,15000,-115000,,0,3421,-35,3421,-5166,,0,11579,-65,11579,-109834
15,surprise gambling losses on rigged banana boat tournament,Ex,,0,15000,-100,15000,-100000,,0,3592,-35,3592,-1574,,0,11408,-65,11408,-98426
16,,,,0,25000,-100,25000,-75000,,0,3771,-35,3771,2197,,0,21229,-65,21229,-77197
17,,,,0,25000,-100,25000,-50000,,0,3960,-35,3960,6157,,0,21040,-65,21040,-56157
18,,,,0,25000,-100,25000,-25000,,0,4158,-35,4158,10315,,0,20842,-65,20842,-35315
19,,,,0,25000,-100,25000,0,,0,4366,-35,4366,14681,,0,20634,-65,20634,-14681
20,,,,0,25000,-100,25000,25000,,0,4584,-35,4584,19265,,0,20416,-65,20416,5735
21,Goes to rehab,Ex,,0,-80000,-100,-80000,-55000,,0,4813,-35,4813,24078,,0,-84813,-65,-84813,-79078
22,,,,0,0,-100,0,-55000,,0,5054,-35,5054,29132,,0,-5054,-65,-5054,-84132
23,,,,0,6000,-100,6000,-49000,,0,5307,-35,5307,34439,,0,693,-65,693,-83439
24,,,,0,6000,-100,6000,-43000,,0,5572,-35,5572,40010,,0,428,-65,428,-83010
25,First imprisonment,,,0,6000,-100,6000,-37000,,0,5851,-35,5851,45861,,0,149,-65,149,-82861
26,,,,0,6000,-100,6000,-31000,,0,6143,-35,6143,52004,,0,-143,-65,-143,-83004
27,,,,0,6000,-100,6000,-25000,,0,6450,-35,6450,58454,,0,-450,-65,-450,-83454
28,In and out of hollywood,Sh,,0,6000,-100,6000,-19000,,0,6773,-35,6773,65227,,0,-773,-65,-773,-84227
29,,,,0,6000,-100,6000,-13000,,0,7111,-35,7111,72338,,0,-1111,-65,-1111,-85338
30,Elected mayor,Sh,,0,6000,-100,6000,-7000,,0,7467,-35,7467,79805,,0,-1467,-65,-1467,-86805
31,,,,0,6000,-100,6000,-1000,,0,7840,-35,7840,87645,,0,-1840,-65,-1840,-88645
32,,,,0,6000,-100,6000,5000,,0,8232,-35,8232,95878,,0,-2232,-65,-2232,-90878
33,Campaign finance vioation,Sh,,0,6000,-100,6000,11000,,0,8644,-35,8644,104522,,0,-2644,-65,-2644,-93522
34,Removed from office for corruption,Sh,,0,6000,-100,6000,17000,,0,9076,-35,9076,113598,,0,-3076,-65,-3076,-96598
35,Returns to selling drugs,Ex,,0,6000,-100,6000,23000,,0,9530,-35,9530,123128,,0,-3530,-65,-3530,-100128
36,,,,0,6000,-100,6000,29000,,0,10006,-35,10006,133134,,0,-4006,-65,-4006,-104134
37,,,,0,6000,-100,6000,35000,,0,10507,-35,10507,143641,,0,-4507,-65,-4507,-108641
38,,,,0,6000,-100,6000,41000,,0,11032,-35,11032,154673,,0,-5032,-65,-5032,-113673
39,,,,0,6000,-100,6000,47000,,0,11584,-35,11584,166256,,0,-5584,-65,-5584,-119256
40,Hall of Fame Induction Ceremony,,,0,6000,-100,6000,53000,,0,12163,-35,12163,178419,,0,-6163,-65,-6163,-125419
