per,year,date,exclusiveEvents,exclusiveBal,exclCapex,exclSavingsRate,exclBurn,exclusiveNet,exclusiveAcc,sharedEvents,sharedBal,sharedCapex,sharedSavingsRate,sharedBurn,sharedNet,sharedAcc,diffCapex,diffSavingsRate,diffBurn,diffNet,diffAcc
0,2019,43586,commit to banana aspirations - buy speedboat ,40,-40,6,-1,-34,-34,commit to banana aspirations - buy speedboat - bottle service with the dream team,75,-75,6,-4,-69,-69,-115,0,3,35,35
1,2020,43952,buy truck ,70,-30,6,-2,-24,-58,Lake house homie finds you,75,0,6,-2,6,-63,-30,0,0,-30,5
2,2021,44317,,70,0,6,-2,6,-52,Meet girlfriend at World Championships,75,0,6,-2,6,-57,0,0,0,0,5
3,2022,44682,Goes to rehab,70,0,6,-12,6,-46,,75,0,6,-2,6,-51,0,0,-10,0,5
4,2023,45047,,70,0,6,-2,6,-40,Becomes tropicana spokesman,75,0,100,-2,100,49,0,-94,0,-94,-89
5,2024,45413,buy lakehouse,270,-200,6,-7,-194,-234,In and out of hollywood,75,0,6,-2,6,55,-200,0,-5,-200,-289
6,2025,45778,begins slanging drugs on the side to make mortgage payments,270,0,50,-7,50,-184,Cover of Banana Boat Magazine,75,0,6,-2,6,61,0,44,-5,44,-245
7,2026,46143,golddigger mildly interested in a relationship,270,0,150,-7,150,-34,surprise gambling losses on rigged banana boat tournament,75,0,6,-102,6,67,0,144,95,144,-101
8,2027,46508,Busted for slanging dope to make ends meet,270,0,50,-7,50,16,Goes to rehab,75,0,6,-32,6,73,0,44,25,44,-57
9,2028,46874,Feds seize all banana-boat assets,0,0,0,0,0,16,Back on the Banana! Triumphant return capitivates the lakes everywhere,75,0,150,-2,150,223,0,-150,2,-150,-207
10,2029,47239,serving hard time upstate,0,0,0,0,0,16,,75,0,6,-2,6,229,0,-6,2,-6,-213
11,2030,47604,prison ,0,0,0,0,0,16,Elected mayor,75,0,6,-2,6,235,0,-6,2,-6,-219
12,2031,47969,released from prison,0,0,0,0,0,16,,75,0,6,-2,6,241,0,-6,2,-6,-225
13,2032,48335,land a paying job,0,0,3,0,3,19,Banana scandal ends in mayoral impeachment and jail time,75,0,6,-2,6,247,0,-3,2,-3,-228
14,2033,48700,get back into banana boating,1,0,6,-1,6,25,"Bananaman movement sweeps nation with motto: ""Free the banana, or we all go bananas!""",75,0,6,-2,6,253,0,0,1,0,-228
15,2034,49065,buy old motorboat without no sound system with cash as cannot get loan,6,-6,6,-2,0,25,early release from prison after governer bows to public pressure and issues pardon and public apology,75,0,6,-2,6,259,-6,0,0,-6,-234
16,2035,49430, back to slanging dope to cover boat payments,6,0,25,-2,25,50,,75,0,6,-2,6,265,0,19,0,19,-215
17,2036,49796,,6,0,30,-2,30,80,Re-Elected mayor,75,0,6,-2,6,271,0,24,0,24,-191
18,2037,50161,"Hang up the banana once and for all, knees and back hurt too much  to continue",6,0,35,-2,35,115,"Hang up the banana once and for all, unanimously selected to the Banana Hall of Fame",75,0,6,-2,6,277,0,29,0,29,-162
19,2038,50526,Trade rusty old boat to local high school kid to mow lawn all summer  ,0,0,40,0,40,155,Sell the world famous banana sled on Soethby's to a wealthy banana collector for a cool $500k,0,0,506,0,506,783,0,-466,0,-466,-628
20,2039,50891,brag to people about the assets you used to exclusively own before prison. ,0,0,45,0,45,200,"Write memoir, reflect fondly on banana shinanigans, try and remember what anonymity was like back in the day",0,0,6,0,6,789,0,39,0,39,-589
