date, income ,expense, net , sum

1/1/19," 5,833 ",5250, 583 , 583 
2/1/19," 5,833 ",5250, 583 ," 1,167 "
3/1/19," 5,833 ",5250, 583 ," 1,750 "
4/1/19," 5,833 ",5250, 583 ," 2,333 "
5/1/19," 5,833 ",5250, 583 ," 2,917 "
6/1/19," 5,833 ",5250, 583 ," 3,500 "
7/1/19," 5,833 ",5250, 583 ," 4,083 "
8/1/19," 5,833 ",5250, 583 ," 4,667 "
9/1/19," 5,833 ",5250, 583 ," 5,250 "
10/1/19," 5,833 ",5250, 583 ," 5,833 "
11/1/19," 5,833 ",5250, 583 ," 6,417 "
12/1/19," 5,833 ",5250, 583 ," 7,000 "
1/1/20," 5,833 ",5250, 583 ," 7,583 "
2/1/20," 5,833 ",5250, 583 ," 8,167 "
3/1/20," 5,833 ",5250, 583 ," 8,750 "
4/1/20," 5,833 ",5250, 583 ," 9,333 "
5/1/20," 5,833 ",5250, 583 ," 9,917 "
6/1/20," 5,833 ",5250, 583 ," 10,500 "
7/1/20," 5,833 ",5250, 583 ," 11,083 "
8/1/20," 5,833 ",5250, 583 ," 11,667 "
9/1/20," 5,833 ",5250, 583 ," 12,250 "
10/1/20," 5,833 ",5250, 583 ," 12,833 "
11/1/20," 5,833 ",5250, 583 ," 13,417 "
12/1/20," 5,833 ",5250, 583 ," 14,000 "
1/1/21," 5,833 ",5250, 583 ," 14,583 "
2/1/21," 5,833 ",5250, 583 ," 15,167 "
3/1/21," 5,833 ",5250, 583 ," 15,750 "
4/1/21," 5,833 ",5250, 583 ," 16,333 "
5/1/21," 5,833 ",5250, 583 ," 16,917 "
6/1/21," 5,833 ",5250, 583 ," 17,500 "
7/1/21," 5,833 ",5250, 583 ," 18,083 "
8/1/21," 5,833 ",5250, 583 ," 18,667 "
9/1/21," 5,833 ",5250, 583 ," 19,250 "
10/1/21," 5,833 ",5250, 583 ," 19,833 "
11/1/21," 5,833 ",5250, 583 ," 20,417 "
12/1/21," 5,833 ",5250, 583 ," 21,000 "
1/1/22," 5,833 ",5250, 583 ," 21,583 "
2/1/22," 5,833 ",5250, 583 ," 22,167 "
3/1/22," 5,833 ",5250, 583 ," 22,750 "
4/1/22," 5,833 ",5250, 583 ," 23,333 "
5/1/22," 5,833 ",5250, 583 ," 23,917 "
6/1/22," 5,833 ",5250, 583 ," 24,500 "
7/1/22," 5,833 ",5250, 583 ," 25,083 "
8/1/22," 5,833 ",5250, 583 ," 25,667 "
9/1/22," 5,833 ",5250, 583 ," 26,250 "
10/1/22," 5,833 ",5250, 583 ," 26,833 "
11/1/22," 5,833 ",5250, 583 ," 27,417 "
12/1/22," 5,833 ",5250, 583 ," 28,000 "
1/1/23," 5,833 ",5250, 583 ," 28,583 "
2/1/23," 5,833 ",5250, 583 ," 29,167 "
3/1/23," 5,833 ",5250, 583 ," 29,750 "
4/1/23," 5,833 ",5250, 583 ," 30,333 "
